CurrentLevel,WaveNumber,CurrentLives,CoverageByTower,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,processing_date,target_hp,target_speed
1.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.068,1.142
1.0,1.0,11.0,30.43,,,,,,,,2025-04-12 10:37:37.539737,1.096,1.171
1.0,2.0,11.0,30.43,,,,,,,,2025-04-12 10:37:37.539737,1.151,1.226
1.0,2.0,11.0,39.13,,,,,,,,2025-04-12 10:37:37.539737,1.225,1.298
1.0,3.0,11.0,39.13,,,,,,,,2025-04-12 10:37:37.539737,1.288,1.358
1.0,3.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.415,1.478
1.0,4.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.488,1.545
1.0,4.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.488,1.545
1.0,5.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.565,1.614
1.0,5.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.565,1.614
1.0,6.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.645,1.686
1.0,6.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.645,1.686
1.0,7.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.728,1.759
1.0,7.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.728,1.759
1.0,8.0,11.0,52.17,,,,,,,,2025-04-12 10:37:37.539737,1.816,1.835
1.0,8.0,11.0,56.52,,,,,,,,2025-04-12 10:37:37.539737,1.872,1.884
1.0,9.0,11.0,56.52,,,,,,,,2025-04-12 10:37:37.539737,1.965,1.963
1.0,9.0,11.0,60.87,,,,,,,,2025-04-12 10:37:37.539737,2.025,2.014
1.0,10.0,11.0,60.87,,,,,,,,2025-04-12 10:37:37.539737,2.124,2.097
1.0,10.0,11.0,69.57,,,,,,,,2025-04-12 10:37:37.539737,2.253,2.204
2.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.166,1.24
2.0,1.0,12.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.447,1.508
2.0,2.0,12.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.522,1.576
2.0,2.0,11.0,58.33,,,,,,,,2025-04-12 10:37:37.539737,1.54,1.592
2.0,3.0,11.0,58.33,,,,,,,,2025-04-12 10:37:37.539737,1.619,1.663
2.0,3.0,6.0,75.0,,,,,,,,2025-04-12 10:37:37.539737,1.436,1.497
2.0,4.0,6.0,75.0,,,,,,,,2025-04-12 10:37:37.539737,1.51,1.565
2.0,4.0,6.0,83.33,,,,,,,,2025-04-12 10:37:37.539737,1.603,1.649
2.0,5.0,6.0,83.33,,,,,,,,2025-04-12 10:37:37.539737,1.685,1.721
2.0,5.0,6.0,83.33,,,,,,,,2025-04-12 10:37:37.539737,1.685,1.721
2.0,6.0,6.0,83.33,,,,,,,,2025-04-12 10:37:37.539737,1.77,1.796
2.0,6.0,6.0,83.33,,,,,,,,2025-04-12 10:37:37.539737,1.77,1.796
2.0,7.0,6.0,83.33,,,,,,,,2025-04-12 10:37:37.539737,1.859,1.873
2.0,7.0,6.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.087,2.067
2.0,8.0,6.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.188,2.151
2.0,8.0,6.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.188,2.151
2.0,9.0,6.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.293,2.237
2.0,9.0,6.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.293,2.237
2.0,10.0,6.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.401,2.325
2.0,10.0,6.0,100.0,,,,,,,,2025-04-12 10:37:37.539737,2.401,2.325
3.0,1.0,11.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.056,1.13
3.0,1.0,11.0,25.0,,,,,,,,2025-04-12 10:37:37.539737,1.26,1.332
3.0,2.0,11.0,25.0,,,,,,,,2025-04-12 10:37:37.539737,1.325,1.393
3.0,2.0,10.0,35.71,,,,,,,,2025-04-12 10:37:37.539737,1.364,1.43
3.0,3.0,10.0,35.71,,,,,,,,2025-04-12 10:37:37.539737,1.434,1.496
3.0,3.0,10.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,1.55,1.601
3.0,4.0,10.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,1.63,1.672
3.0,4.0,10.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,1.63,1.672
3.0,5.0,10.0,46.43,,,,,,,,2025-04-12 10:37:37.539737,1.713,1.746
3.0,5.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.757,1.784
3.0,6.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.845,1.861
3.0,6.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.845,1.861
3.0,7.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.937,1.939
3.0,7.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.937,1.939
3.0,8.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,2.032,2.02
3.0,8.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,2.032,2.02
3.0,9.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,2.131,2.103
3.0,9.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,2.131,2.103
3.0,10.0,10.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,2.234,2.188
3.0,10.0,8.0,57.14,,,,,,,,2025-04-12 10:37:37.539737,2.142,2.112
4.0,1.0,13.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.267,1.339
4.0,1.0,13.0,16.67,,,,,,,,2025-04-12 10:37:37.539737,1.43,1.492
4.0,2.0,13.0,16.67,,,,,,,,2025-04-12 10:37:37.539737,1.504,1.559
4.0,2.0,13.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.565,1.615
4.0,3.0,13.0,22.22,,,,,,,,2025-04-12 10:37:37.539737,1.645,1.686
4.0,3.0,12.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.611,1.656
4.0,4.0,12.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.693,1.728
4.0,4.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.538,1.591
4.0,5.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.617,1.661
4.0,5.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.617,1.661
4.0,6.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.7,1.734
4.0,6.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.7,1.734
4.0,7.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.786,1.809
4.0,7.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.786,1.809
4.0,8.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.875,1.887
4.0,8.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.875,1.887
4.0,9.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.968,1.966
4.0,9.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.968,1.966
4.0,10.0,10.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,2.065,2.048
4.0,10.0,8.0,25.93,,,,,,,,2025-04-12 10:37:37.539737,1.883,1.893
1.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.068,1.142
1.0,1.0,5.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,0.83,0.883
1.0,2.0,5.0,26.09,,,,,,,,2025-04-12 10:37:37.539737,0.862,0.92
1.0,2.0,5.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,0.958,1.027
1.0,3.0,5.0,43.48,,,,,,,,2025-04-12 10:37:37.539737,1.003,1.075
1.0,3.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.032,1.106
1.0,4.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.083,1.157
1.0,4.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.083,1.157
1.0,5.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.137,1.212
1.0,5.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.137,1.212
1.0,6.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.194,1.268
1.0,6.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.194,1.268
1.0,7.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.255,1.327
1.0,7.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.255,1.327
1.0,8.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.32,1.389
1.0,8.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.32,1.389
1.0,9.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.388,1.453
1.0,9.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.388,1.453
1.0,10.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.46,1.519
1.0,10.0,5.0,47.83,,,,,,,,2025-04-12 10:37:37.539737,1.46,1.519
2.0,1.0,10.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,0.931,0.997
2.0,1.0,7.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.139,1.213
2.0,2.0,7.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.196,1.27
2.0,2.0,7.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.196,1.27
2.0,3.0,7.0,50.0,,,,,,,,2025-04-12 10:37:37.539737,1.257,1.329
2.0,3.0,0.0,58.33,,,,,,,,2025-04-12 10:37:37.539737,0.964,1.034
3.0,1.0,15.0,0.0,,,,,,,,2025-04-12 10:37:37.539737,1.275,1.346
3.0,1.0,15.0,21.43,,,,,,,,2025-04-12 10:37:37.539737,1.489,1.546
3.0,2.0,15.0,21.43,,,,,,,,2025-04-12 10:37:37.539737,1.566,1.615
3.0,2.0,15.0,28.57,,,,,,,,2025-04-12 10:37:37.539737,1.648,1.689
3.0,3.0,15.0,28.57,,,,,,,,2025-04-12 10:37:37.539737,1.732,1.763
3.0,3.0,15.0,28.57,,,,,,,,2025-04-12 10:37:37.539737,1.732,1.763
3.0,4.0,15.0,28.57,,,,,,,,2025-04-12 10:37:37.539737,1.819,1.839
3.0,4.0,15.0,35.71,,,,,,,,2025-04-12 10:37:37.539737,1.913,1.919
3.0,5.0,15.0,35.71,,,,,,,,2025-04-12 10:37:37.539737,2.007,1.999
3.0,5.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.058,2.042
3.0,6.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.157,2.125
3.0,6.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.157,2.125
3.0,7.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.261,2.211
3.0,7.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.261,2.211
3.0,8.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.368,2.298
3.0,8.0,15.0,39.29,,,,,,,,2025-04-12 10:37:37.539737,2.368,2.298
