CurrentLevel;WaveNumber;TowerID;TowerType;Action;Level;Range;FireRate;Cost;Timestamp
1;1;NaN;NaN;GameStart;NaN;NaN;NaN;NaN;2025.01.29 10:44
1;1;-44986;Rocket;Update;0;8;0,5;12;2025.01.29 10:45
1;1;-35546;MachineGun;Update;0;6;4;4;2025.01.29 10:45
1;1;-33486;MachineGun;Update;0;6;4;4;2025.01.29 10:45
1;1;-31204;MachineGun;Update;0;6;4;4;2025.01.29 10:45
1;1;-28596;MachineGun;Update;0;6;4;4;2025.01.29 10:45
1;1;-28560;MachineGun;Update;0;6;4;4;2025.01.29 10:45
1;1;-28486;Rocket;Update;0;8;0,5;12;2025.01.29 10:45
1;2;-67652;Rocket;Update;0;8;0,5;12;2025.01.29 10:47
1;2;-59832;Rocket;Update;0;8;0,5;12;2025.01.29 10:47
1;2;-50694;MachineGun;Update;1;7;5;12;2025.01.29 10:47
1;2;-44986;Rocket;Update;0;8;0,5;12;2025.01.29 10:47
1;2;-35546;MachineGun;Update;0;6;4;4;2025.01.29 10:47
1;2;-33486;MachineGun;Update;0;6;4;4;2025.01.29 10:47
1;2;-31204;MachineGun;Update;0;6;4;4;2025.01.29 10:47
1;2;-28596;MachineGun;Update;0;6;4;4;2025.01.29 10:47
1;2;-28486;Rocket;Update;0;8;0,5;12;2025.01.29 10:47
1;3;-87862;Rocket;Update;0;8;0,5;12;2025.01.29 10:48
1;3;-87756;Rocket;Update;0;8;0,5;12;2025.01.29 10:48
1;3;-71880;Rocket;Update;0;8;0,5;12;2025.01.29 10:48
1;3;-67652;Rocket;Update;0;8;0,5;12;2025.01.29 10:48
1;3;-59832;Rocket;Update;0;8;0,5;12;2025.01.29 10:48
1;3;-50694;MachineGun;Update;1;7;5;12;2025.01.29 10:48
1;3;-44986;Rocket;Update;0;8;0,5;12;2025.01.29 10:48
1;3;-35546;MachineGun;Update;0;6;4;4;2025.01.29 10:48
1;3;-33486;MachineGun;Update;0;6;4;4;2025.01.29 10:48
1;3;-31204;MachineGun;Update;0;6;4;4;2025.01.29 10:48
1;3;-28596;MachineGun;Update;0;6;4;4;2025.01.29 10:48
1;3;-28486;Rocket;Update;0;8;0,5;12;2025.01.29 10:48
1;4;-115390;MachineGun;Update;1;7;5;12;2025.01.29 10:49
1;4;-114780;MachineGun;Update;1;7;5;12;2025.01.29 10:49
1;4;-114114;MachineGun;Update;2;8;5;26;2025.01.29 10:49
1;4;-99158;Rocket;Update;1;10;0,65;36;2025.01.29 10:49
1;4;-87862;Rocket;Update;0;8;0,5;12;2025.01.29 10:49
1;4;-87756;Rocket;Update;0;8;0,5;12;2025.01.29 10:49
1;4;-71880;Rocket;Update;0;8;0,5;12;2025.01.29 10:49
1;4;-67652;Rocket;Update;0;8;0,5;12;2025.01.29 10:49
1;4;-59832;Rocket;Update;0;8;0,5;12;2025.01.29 10:49
1;4;-44986;Rocket;Update;0;8;0,5;12;2025.01.29 10:49
1;4;-31204;MachineGun;Update;0;6;4;4;2025.01.29 10:49
1;4;-28596;MachineGun;Update;0;6;4;4;2025.01.29 10:49
1;5;-138102;Rocket;Update;1;10;0,65;36;2025.01.29 10:50
1;5;-123616;MachineGun;Update;2;8;5;26;2025.01.29 10:50
1;5;-114780;MachineGun;Update;1;7;5;12;2025.01.29 10:50
1;5;-114114;MachineGun;Update;2;8;5;26;2025.01.29 10:50
1;5;-99158;Rocket;Update;1;10;0,65;36;2025.01.29 10:50
1;5;-87862;Rocket;Update;0;8;0,5;12;2025.01.29 10:50
